movie_id,title,description,director
250,The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache
251,Bonjour Anne,"Anne is at a crossroads in her life. Long married to a successful, driven but inattentive movie producer, she unexpectedly finds herself taking a car trip from Cannes to Paris with a ... See full summary »",Eleanor Coppola
252,Kynodontas,"Three teenagers live isolated, without leaving their house, because their over-protective parents say they can only leave when their dogtooth falls out.",Yorgos Lanthimos
253,Straight Outta Compton,"The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",F. Gary Gray
254,The Amazing Spider-Man 2,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",Marc Webb
255,The Conjuring,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,James Wan
256,The Hangover,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Todd Phillips
257,Battleship,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,Peter Berg
258,Rise of the Planet of the Apes,"A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.",Rupert Wyatt
259,Lights Out,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an entity attached to their mother.",David F. Sandberg
260,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.",Joseph Cedar
261,Birdman or (The Unexpected Virtue of Ignorance),"Illustrated upon the progress of his latest Broadway play, a former popular actor's struggle to cope with his current life as a wasted actor is shown.",Alejandro González Iñárritu
262,Black Swan,"A committed dancer wins the lead role in a production of Tchaikovsky's \""Swan Lake\"" only to find herself struggling to maintain her sanity.",Darren Aronofsky
263,Dear White People,The lives of four black students at an Ivy League college.,Justin Simien
264,Nymphomaniac: Vol. I,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.,Lars von Trier
265,Teenage Mutant Ninja Turtles: Out of the Shadows,"After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.",Dave Green
266,Knock Knock,"A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",Eli Roth
267,Dirty Grandpa,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant-Colonel, to Florida for spring break.",Dan Mazer
268,Cloud Atlas,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",Tom Tykwer
269,X-Men Origins: Wolverine,"A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years.",Gavin Hood
270,Satanic,"Four friends on their way to Coachella stop off in Los Angeles to tour true-crime occult sites, only to encounter a mysterious young runaway who puts them on a terrifying path to ultimate horror.",Jeffrey G. Hunt
271,Skyfall,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",Sam Mendes
272,The Hobbit: An Unexpected Journey,"A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.",Peter Jackson
273,21 Jump Street,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,Phil Lord
274,Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,John Carney
275,Ballerina,"An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.",Eric Summer
276,Oblivion,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,Joseph Kosinski
277,22 Jump Street,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",Phil Lord
278,Zodiac,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",David Fincher
279,Everybody Wants Some!!,"In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.",Richard Linklater
280,Iron Man Three,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Shane Black
281,Now You See Me,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,Louis Leterrier
282,Sherlock Holmes,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Guy Ritchie
283,Death Proof,"Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his \""death proof\"" cars to execute his murderous plans.",Quentin Tarantino
284,The Danish Girl,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,Tom Hooper
285,Hercules,"Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.",Brett Ratner
286,Sucker Punch,"A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape.",Zack Snyder
287,Keeping Up with the Joneses,A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.,Greg Mottola
288,Jupiter Ascending,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,Lana Wachowski
289,Masterminds,A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.,Jared Hess
290,Iris,"Iris, young wife of a businessman, disappears in Paris. Maybe a mechanic with many debts is involved in the strange affair. A really complicated job for the police.",Jalil Lespert
291,Busanhaeng,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",Sang-ho Yeon
292,Pitch Perfect,"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",Jason Moore
293,Neighbors 2: Sorority Rising,"When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",Nicholas Stoller
294,The Exception,"A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.",David Leveaux
295,Man of Steel,"Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",Zack Snyder
296,The Choice,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.,Ross Katz
297,Ice Age: Collision Course,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.",Mike Thurmeier
298,The Devil Wears Prada,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.",David Frankel
299,The Infiltrator,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,Brad Furman
300,There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson
301,The Equalizer,"A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.",Antoine Fuqua
302,Lone Survivor,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",Peter Berg
303,The Cabin in the Woods,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",Drew Goddard
304,The House Bunny,"After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls.",Fred Wolf
305,She's Out of My League,"An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.",Jim Field Smith
306,Inherent Vice,"In 1970, drug-fueled Los Angeles private investigator Larry \""Doc\"" Sportello investigates the disappearance of a former girlfriend.",Paul Thomas Anderson
307,Alice Through the Looking Glass,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,James Bobin
308,Vincent N Roxxy,A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.,Gary Michael Schultz
309,The Fast and the Furious: Tokyo Drift,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,Justin Lin
310,How to Be Single,A group of young adults navigate love and relationships in New York City.,Christian Ditter
311,The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",John Lee Hancock
312,La vie d'Adèle,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",Abdellatif Kechiche
313,The Babadook,"A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her.",Jennifer Kent
314,The Hobbit: The Battle of the Five Armies,Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,Peter Jackson
315,Harry Potter and the Order of the Phoenix,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",David Yates
316,Snowpiercer,"Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges.",Bong Joon Ho
317,The 5th Wave,"Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother.",J Blakeson
318,The Stakelander,"When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader, Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter, Mister, to guide him.",Dan Berk
319,The Visit,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,M. Night Shyamalan
320,Fast Five,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,Justin Lin
321,Step Up,"Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",Anne Fletcher
322,Lovesong,The relationship between two friends deepens during an impromptu road trip.,So Yong Kim
323,RocknRolla,"In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into... See full summary »",Guy Ritchie
324,In Time,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.",Andrew Niccol
325,The Social Network,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.",David Fincher
326,The Last Witch Hunter,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,Breck Eisner
327,Victor Frankenstein,"Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.",Paul McGuigan
328,A Street Cat Named Bob,"Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat.",Roger Spottiswoode
329,Green Room,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,Jeremy Saulnier
330,Blackhat,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,Michael Mann
331,Storks,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.",Nicholas Stoller
332,American Sniper,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.",Clint Eastwood
333,Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Jean-Marc Vallée
334,Lincoln,"As the War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",Steven Spielberg
335,Rush,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard
336,Before I Wake,A young couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.,Mike Flanagan
337,Silver Linings Playbook,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",David O. Russell
338,Tracktown,"A young, talented, and lonely long-distance runner twists her ankle as she prepares for the Olympic Trials and must do something she's never done before: take a day off.",Alexi Pappas
339,The Fault in Our Stars,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,Josh Boone
340,Blended,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.",Frank Coraci
341,Fast & Furious,"Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",Justin Lin
342,Looper,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",Rian Johnson
343,White House Down,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",Roland Emmerich
344,Pete's Dragon,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.",David Lowery
345,Spider-Man 3,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",Sam Raimi
346,The Three Musketeers,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,Paul W.S. Anderson
347,Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Matthew Vaughn
348,American Hustle,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.",David O. Russell
349,Jennifer's Body,A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,Karyn Kusama
350,Midnight in Paris,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.",Woody Allen
351,Lady Macbeth,"Set in 19th century rural England, young bride who has been sold into marriage to a middle-aged man discovers an unstoppable desire within herself as she enters into an affair with a work on her estate.",William Oldroyd
352,Joy,"Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.",David O. Russell
353,The Dressmaker,"A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong.",Jocelyn Moorhouse
354,Café Society,"In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.",Woody Allen
355,Insurgent,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,Robert Schwentke
356,Seventh Son,"When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",Sergei Bodrov
357,Demain tout commence,Samuel parties hard in the Marseille area of France and is awoken one morning by a woman carrying a baby she claims is his. She drives off leaving him with a wailing infant; he gives chase ... See full summary »,Hugo Gélin
358,The Theory of Everything,A look at the relationship between the famous physicist Stephen Hawking and his wife.,James Marsh
359,This Is the End,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the Biblical Apocalypse.",Evan Goldberg
360,About Time,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Richard Curtis
361,Step Brothers,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.,Adam McKay
362,Clown,"A loving father finds a clown suit for his son's birthday party, only to realize that it is not a suit at all.",Jon Watts
363,Star Trek Into Darkness,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",J.J. Abrams
364,Zombieland,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",Ruben Fleischer
365,"Hail, Caesar!",A Hollywood fixer in the 1950s works to keep the studio's stars in line.,Ethan Coen
366,Slumdog Millionaire,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of \""Who Wants to be a Millionaire?\"",Danny Boyle,""Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor",2008
367,The Twilight Saga: Breaking Dawn - Part 2,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",Bill Condon
368,American Wrestler: The Wizard,"In 1980, a teenage boy escapes the unrest in Iran only to face more hostility in America, due to the hostage crisis. Determined to fit in, he joins the school's floundering wrestling team.",Alex Ranarivelo
369,The Amazing Spider-Man,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death.",Marc Webb
370,Ben-Hur,"Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption.",Timur Bekmambetov
371,Sleight,"A young street magician (Jacob Latimore) is left to care for his little sister after their parents passing, and turns to illegal activities to keep a roof over their heads. When he gets in ... See full summary »",J.D. Dillard
372,The Maze Runner,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow \""runners\"" for a shot at escape.",Wes Ball
373,Criminal,"In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.",Ariel Vromen
374,Wanted,"A frustrated office worker learns that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",Timur Bekmambetov
375,Florence Foster Jenkins,"The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",Stephen Frears
376,Collide,"An American backpacker gets involved with a ring of drug smugglers as their driver, though he winds up on the run from his employers across Cologne high-speed Autobahn.",Eran Creevy
377,Black Mass,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.",Scott Cooper
378,Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Ryan Coogler
379,Swiss Army Man,A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.,Dan Kwan
380,The Expendables 3,"Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.",Patrick Hughes
381,What We Do in the Shadows,"A documentary team films the lives of a group of vampires for a few months. The vampires share a house in Wellington, New Zealand. Turns out vampires have their own domestic problems too.",Jemaine Clement
382,Southpaw,Boxer Billy Hope turns to trainer Tick Wills to help him get his life back on track after losing his wife in a tragic accident and his daughter to child protection services.,Antoine Fuqua
383,Hush,A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,Mike Flanagan
384,Bridge of Spies,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Steven Spielberg
385,The Lego Movie,"An ordinary Lego construction worker, thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.",Phil Lord
386,Everest,"The story of New Zealand's Robert \""Rob\"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.",Baltasar Kormákur
387,Pixels,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",Chris Columbus
388,Robin Hood,"In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",Ridley Scott
389,The Wolverine,"When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons.",James Mangold
390,John Carter,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",Andrew Stanton
391,Keanu,"When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins, they will have to go through gangs, hitmen and drug dealers who claim him in order to get him back.",Peter Atencio
392,The Gunman,"A sniper on a mercenary assassination team, kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.",Pierre Morel
393,Steve Jobs,"Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",Danny Boyle
394,Whisky Galore,Scottish islanders try to plunder cases of whisky from a stranded ship.,Gillies MacKinnon
395,Grown Ups 2,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.",Dennis Dugan
396,The Age of Adaline,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",Lee Toland Krieger
397,The Incredible Hulk,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he emerges whenever he loses his temper.",Louis Leterrier
398,Couples Retreat,"A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional.",Peter Billingsley
399,Absolutely Anything,"A group of eccentric aliens confer a human being with the power to do absolutely anything, as an experiment.",Terry Jones
400,Magic Mike,"A male stripper teaches a younger performer how to party, pick up women, and make easy money.",Steven Soderbergh
401,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",Kyle Balda
402,The Black Room,PAUL and JENNIFER HEMDALE have just moved into their dream house. But their happy marriage is about to be put to the test as they slowly discover the secret behind the black room in the ... See full summary »,Rolfe Kanefsky
403,Bronson,"A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson.",Nicolas Winding Refn
404,Despicable Me,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",Pierre Coffin
405,The Best of Me,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,Michael Hoffman
406,The Invitation,"While attending a dinner party at his former home, a man thinks his ex-wife and her new husband have sinister intentions for their guests.",Karyn Kusama
407,Zero Dark Thirty,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.",Kathryn Bigelow
408,Tangled,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",Nathan Greno
409,The Hunger Games: Mockingjay - Part 2,"As the war of Panem escalates to the destruction of other districts, Katniss Everdeen, the reluctant leader of the rebellion, must bring together an army against President Snow, while all she holds dear hangs in the balance.",Francis Lawrence
410,Vacation,"Rusty Griswold takes his own family on a road trip to \""Walley World\"" in order to spice things up with his wife and reconnect with his sons.",John Francis Daley
411,Taken,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",Pierre Morel
412,Pitch Perfect 2,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",Elizabeth Banks
413,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.,Dan Scanlon
414,Elle,A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her.,Paul Verhoeven
415,Mechanic: Resurrection,"Arthur Bishop thought he had put his murderous past behind him, until his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best: make them look like accidents.",Dennis Gansel
416,Tusk,"When podcaster Wallace Bryton goes missing in the backwoods of Manitoba while interviewing a mysterious seafarer named Howard Howe, his best friend Teddy and girlfriend Allison team with an ex-cop to look for him.",Kevin Smith
417,The Headhunter's Calling,"A headhunter whose life revolves around closing deals in a a survival-of-the-fittest boiler room, battles his top rival for control of their job placement company -- his dream of owning the company clashing with the needs of his family.",Mark Williams
418,Atonement,"Fledgling writer Briony Tallis, as a thirteen-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",Joe Wright
419,Harry Potter and the Deathly Hallows: Part 1,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",David Yates
420,Shame,A man's carefully cultivated private life is disrupted when his sister arrives for an indefinite stay.,Steve McQueen
421,Hanna,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",Joe Wright
422,The Babysitters,A teenager turns her babysitting service into a call-girl service for married guys after fooling around with one of her customers.,David Ross
423,Pride and Prejudice and Zombies,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,Burr Steers
424,300: Rise of an Empire,"Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",Noam Murro
425,London Has Fallen,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",Babak Najafi
426,The Curious Case of Benjamin Button,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",David Fincher
427,Sin City: A Dame to Kill For,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,Frank Miller
428,The Bourne Ultimatum,Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.,Paul Greengrass
429,Srpski film,"An aging porn star agrees to participate in an \""art film\"" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film.",Srdjan Spasojevic
430,The Purge: Election Year,"Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge.",James DeMonaco
431,3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them \""idiots\"".",Rajkumar Hirani
432,Zoolander 2,"Derek and Hansel are lured into modeling again, in Rome, where they find themselves the target of a sinister conspiracy.",Ben Stiller
